Nombre del Evento,Fecha del Evento,Ubicación,Capacidad del Evento,Banda Principal
Evento 1,,Ubicación 8,10000,Banda 378
Evento 2,06-01-2025,Ubicación 13,5000,Banda 238
Evento 3,2025-03-06,Ubicación 3,20000,Banda 370
Evento 4,,Ubicación 11,5000,Banda 28
Evento 5,05-15-2025,Ubicación 20,None,Banda 184
Evento 6,01/11/2025,Ubicación 1,20000,Banda 303
Evento 7,28/01/2026,Ubicación 12,10000,Banda 231
Evento 8,06/08/2025,Ubicación 7,,Banda 404
Evento 9,05-16-2025,Ubicación 17,10000,Banda 193
Evento 10,2025-03-04,Ubicación 18,None,Banda 66
Evento 11,2026-02-19,Ubicación 2,20000,Banda 374
Evento 12,02-08-2026,Ubicación 3,20000,Banda 228
Evento 13,,Ubicación 7,,Banda 483
Evento 14,14/01/2026,Ubicación 5,None,Banda 81
Evento 15,22/12/2025,Ubicación 15,,Banda 289
Evento 16,06-22-2025,Ubicación 13,20000,Banda 493
Evento 17,24/10/2025,Ubicación 20,20000,Banda 216
Evento 18,,Ubicación 8,,Banda 243
Evento 19,03-28-2025,Ubicación 2,20000,Banda 463
Evento 20,09-15-2025,Ubicación 13,None,Banda 33
Evento 21,11-18-2025,Ubicación 6,None,Banda 88
Evento 22,2025-08-31,Ubicación 4,20000,Banda 125
Evento 23,07-23-2025,Ubicación 8,20000,Banda 43
Evento 24,2025-07-30,Ubicación 5,5000,Banda 398
Evento 25,10-13-2025,Ubicación 20,None,Banda 439
Evento 26,03-27-2025,Ubicación 3,20000,Banda 81
Evento 27,2025-04-08,Ubicación 12,5000,Banda 95
Evento 28,,Ubicación 3,10000,Banda 420
Evento 29,09-30-2025,Ubicación 12,10000,Banda 88
Evento 30,2025-02-27,Ubicación 6,20000,Banda 267
Evento 31,10/01/2026,Ubicación 8,None,Banda 403
Evento 32,09-11-2025,Ubicación 14,5000,Banda 435
Evento 33,2026-02-20,Ubicación 12,,Banda 427
Evento 34,06/01/2026,Ubicación 3,10000,Banda 398
Evento 35,08-10-2025,Ubicación 7,None,Banda 43
Evento 36,11/01/2026,Ubicación 9,10000,Banda 26
Evento 37,02/07/2025,Ubicación 13,,Banda 500
Evento 38,,Ubicación 20,5000,Banda 319
Evento 39,02-14-2026,Ubicación 15,,Banda 467
Evento 40,2025-10-13,Ubicación 5,5000,Banda 229
Evento 41,01-07-2026,Ubicación 2,5000,Banda 284
Evento 42,02-26-2025,Ubicación 19,5000,Banda 395
Evento 43,04/10/2025,Ubicación 20,5000,Banda 66
Evento 44,12-10-2025,Ubicación 17,20000,Banda 243
Evento 45,2025-07-24,Ubicación 5,10000,Banda 154
Evento 46,12-16-2025,Ubicación 9,5000,Banda 121
Evento 47,12-29-2025,Ubicación 13,,Banda 41
Evento 48,2025-04-01,Ubicación 9,5000,Banda 438
Evento 49,,Ubicación 5,10000,Banda 401
Evento 50,09/01/2026,Ubicación 12,10000,Banda 404
Evento 51,19/08/2025,Ubicación 4,5000,Banda 433
Evento 52,01-16-2026,Ubicación 10,10000,Banda 258
Evento 53,02-16-2026,Ubicación 11,None,Banda 303
Evento 54,2025-10-12,Ubicación 3,10000,Banda 411
Evento 55,2025-08-13,Ubicación 20,10000,Banda 167
Evento 56,10-29-2025,Ubicación 3,10000,Banda 79
Evento 57,04-07-2025,Ubicación 6,20000,Banda 216
Evento 58,2025-09-27,Ubicación 20,5000,Banda 207
Evento 59,2025-04-11,Ubicación 18,10000,Banda 339
Evento 60,10-25-2025,Ubicación 8,5000,Banda 6
Evento 61,10/09/2025,Ubicación 19,20000,Banda 13
Evento 62,09-28-2025,Ubicación 11,5000,Banda 205
Evento 63,2025-08-28,Ubicación 19,10000,Banda 356
Evento 64,24/06/2025,Ubicación 15,None,Banda 423
Evento 65,2025-05-23,Ubicación 18,5000,Banda 133
Evento 66,2025-12-18,Ubicación 20,5000,Banda 77
Evento 67,21/08/2025,Ubicación 18,,Banda 210
Evento 68,2025-09-01,Ubicación 5,,Banda 448
Evento 69,08-15-2025,Ubicación 3,10000,Banda 165
Evento 70,28/08/2025,Ubicación 2,,Banda 59
Evento 71,09-06-2025,Ubicación 1,None,Banda 499
Evento 72,2025-06-25,Ubicación 18,10000,Banda 91
Evento 73,01-06-2026,Ubicación 5,None,Banda 58
Evento 74,05/11/2025,Ubicación 18,20000,Banda 381
Evento 75,01/12/2025,Ubicación 17,,Banda 254
Evento 76,23/07/2025,Ubicación 7,10000,Banda 88
Evento 77,16/10/2025,Ubicación 19,10000,Banda 77
Evento 78,10-08-2025,Ubicación 2,None,Banda 210
Evento 79,2025-08-14,Ubicación 18,20000,Banda 468
Evento 80,08-21-2025,Ubicación 1,5000,Banda 11
Evento 81,2025-10-30,Ubicación 8,20000,Banda 240
Evento 82,,Ubicación 8,None,Banda 85
Evento 83,12-25-2025,Ubicación 17,10000,Banda 498
Evento 84,2025-05-30,Ubicación 13,None,Banda 148
Evento 85,08-24-2025,Ubicación 1,10000,Banda 462
Evento 86,2026-01-20,Ubicación 4,10000,Banda 362
Evento 87,07/06/2025,Ubicación 7,10000,Banda 209
Evento 88,,Ubicación 13,,Banda 315
Evento 89,,Ubicación 15,10000,Banda 155
Evento 90,2025-09-02,Ubicación 2,,Banda 335
Evento 91,,Ubicación 17,5000,Banda 304
Evento 92,02/12/2025,Ubicación 14,5000,Banda 132
Evento 93,29/11/2025,Ubicación 20,5000,Banda 308
Evento 94,,Ubicación 7,None,Banda 414
Evento 95,04-12-2025,Ubicación 8,5000,Banda 162
Evento 96,19/01/2026,Ubicación 6,10000,Banda 129
Evento 97,03-30-2025,Ubicación 3,,Banda 153
Evento 98,2025-09-08,Ubicación 2,10000,Banda 435
Evento 99,02/05/2025,Ubicación 1,20000,Banda 450
Evento 100,2025-02-28,Ubicación 12,,Banda 127
